43.161.226.55:443#CN [高速] [1032ms 18Mbps]
52.66.200.252:443#IN [高速] [125ms 13Mbps]
13.126.206.240:443#IN [高速] [140ms 13Mbps]
65.2.215.47:443#IN [高速] [140ms 13Mbps]
35.154.184.88:443#IN [高速] [141ms 13Mbps]
3.112.41.210:443#JP [高速] [62ms 12Mbps]
13.231.172.130:443#JP [高速] [63ms 16Mbps]
175.41.232.194:443#JP [高速] [63ms 14Mbps]
13.193.215.10:443#JP [高速] [78ms 20Mbps]
13.158.86.30:443#JP [高速] [78ms 14Mbps]
13.158.39.80:443#JP [高速] [78ms 14Mbps]
43.131.242.223:443#KR [高速] [78ms 22Mbps]
52.221.53.171:443#SG [高速] [62ms 23Mbps]
18.141.208.166:443#SG [高速] [62ms 20Mbps]
52.221.4.213:443#SG [高速] [63ms 23Mbps]
3.1.187.169:443#SG [高速] [63ms 14Mbps]
18.141.237.52:443#SG [高速] [78ms 22Mbps]
52.77.72.146:443#SG [高速] [78ms 22Mbps]
54.169.57.101:8443#SG [高速] [78ms 14Mbps]
